# format:org_id|changed|org_name|country|source
@aut-10041-APNIC|20071107|The Willbes & Co.,Ltd|KR|APNIC
@aut-10042-APNIC|20071114|DAEGU POLYTECHNIC COLLEGE|KR|APNIC
@aut-10043-APNIC|20070704|Ministry of Information and Communication|KR|APNIC
@aut-10044-APNIC|20090724|Rural Development Adminstration (RDA)|KR|APNIC
@aut-10045-APNIC|20120802|Hanbat National University|KR|APNIC
@aut-10046-APNIC|20000719|HOWON UNIVERSITY|KR|APNIC
@aut-10047-APNIC|20060517|Namseoul university|KR|APNIC
@aut-10048-APNIC|20061120|Bittel|KR|APNIC
@aut-10049-APNIC|20120802|SK C&C Co., Ltd.|KR|APNIC
@aut-10050-APNIC|20131217|The National Library of Korea|KR|APNIC
@aut-10051-APNIC|20000807|ANYSAT|KR|APNIC
@aut-10052-APNIC|20000706|Kyungpook National Univ.|KR|APNIC
@aut-10053-APNIC|20020731|Anyang Technical College|KR|APNIC
@aut-10054-APNIC|20061113|CMB Kwnagju Easten Broadcasting|KR|APNIC
@aut-10055-APNIC|20090223|Korean National Railroad Administration|KR|APNIC
@aut-10056-APNIC|20020805|Hyundai Marin&Fire Insurance|KR|APNIC
@aut-10057-APNIC|20050126|ESOCOM|KR|APNIC
@aut-10058-APNIC|20060626|NACUFOK|KR|APNIC
@aut-10059-APNIC|20071113|LG DACOM KIDC|KR|APNIC
@aut-10060-APNIC|20071106|Actoz Soft Co., Ltd.|KR|APNIC
@aut-10061-APNIC|20030121|Financial Supervisory Service|KR|APNIC
@aut-10062-APNIC|20060607|HamanCableBroadcastingCorporation|KR|APNIC
@aut-10063-APNIC|20000816|Korea Meteorological Administration|KR|APNIC
@aut-10064-APNIC|20140205|GEPS Cheonan Sagnokresort|KR|APNIC
@aut-10065-APNIC|20041117|Korea Marine Transport|KR|APNIC
@aut-10068-APNIC|20000828|Honhjin Network|KR|APNIC
@aut-10069-APNIC|20060706|Seoul Metro|KR|APNIC
@aut-10070-APNIC|20030122|Korea Research Institute of Standards and Science|KR|APNIC
@aut-10071-APNIC|20050202|anyang University|KR|APNIC
@aut-10072-APNIC|20000914|Cho Hung Bank|KR|APNIC
@aut-10073-APNIC|20061123|Korea National Open University|KR|APNIC
@aut-10076-APNIC|20101102|ERDEMNET ISP|MN|APNIC
@aut-10078-APNIC|20051202|Internet Business Corporation|AU|APNIC
@aut-10079-APNIC|20040531|Pacific Dunlop Group|AU|APNIC
@aut-10080-APNIC|20140526|Webshield, Internet Service Provider, Adelaide, Australia|AU|APNIC
@aut-10081-APNIC|20000623|DiGi Telecommunications Sdn Bhd|MY|APNIC
@aut-10082-APNIC|20101213|Morgan Stanley Asia Limited|HK|APNIC
@aut-10084-APNIC|20061002|Western Australian Internet Association|AU|APNIC
@aut-10085-APNIC|20120312|PEER WITH OVERSEA ISP|TW|APNIC
@aut-10087-APNIC|20001109|Printed Circuits Manufacturer|HK|APNIC
@aut-10088-APNIC|20021115|KWANGWOON University in Seoul, Korea|KR|APNIC
@aut-10089-APNIC|20130919|Total Access Communication PLC.|TH|APNIC
@aut-10090-APNIC|20040804|LDS Church of Jesus Christ|AU|APNIC
@aut-10091-APNIC|20110907|StarHub Cable Vision Ltd|SG|APNIC
@aut-10092-APNIC|20040413|Australian Domain Administration Limited,|AU|APNIC
@aut-10093-APNIC|20020523|WebOne Internet|AU|APNIC
@aut-10094-APNIC|20130830|BruNet - Telekom Brunei Berhad|BN|APNIC
@aut-10096-APNIC|20071217|Easycall Communications Phils., Inc.|PH|APNIC
@aut-10097-APNIC|20040812|Flow Communications 2/541 Kent St Sydney NSW 2000|AU|APNIC
@aut-10098-APNIC|20090406|Henderson Data Centre Limited|HK|APNIC
@aut-10099-APNIC|20140805|China Unicom (Hong Kong) Operations Limited|HK|APNIC
@aut-10100-APNIC|20090507|UBS Autonomous System Asia-Pacific|SG|APNIC
@aut-10101-APNIC|20110209|Simpur ISP|BN|APNIC
@aut-10102-APNIC|20130506|1Asia Communication Pte Ltd|SG|APNIC
@aut-10103-APNIC|20010326|HK Broadband Network Ltd.|HK|APNIC
@aut-10104-APNIC|20001109|Internet Depot|AU|APNIC
@aut-10105-APNIC|20130313|OMNIconnect Pty Ltd|AU|APNIC
@aut-10106-APNIC|20100726|Central Gippsland Institute of TAFE|AU|APNIC
@aut-10107-APNIC|20091201|141 Ayala Street 11th Floor Unit 1108|PH|APNIC
@aut-10108-APNIC|20120705|DRESDNER KLEINWORT WASSERSTEIN,|HK|APNIC
@aut-10109-APNIC|20080104|Topica LLC, Internet Service Provider,Ulaanbaatar, Mongolia|MN|APNIC
@aut-10110-APNIC|20000720|Manukau Institute of Technology|NZ|APNIC
@aut-10111-APNIC|20031010|DataOne(Malaysia)|MY|APNIC
@aut-10114-APNIC|20040629|PT.Medialintas Antar Buana|ID|APNIC
@aut-10115-APNIC|20020727|Australian Taxation OAffice|AU|APNIC
@aut-10116-APNIC|20010519|Hutchison Telephone Company Limited|HK|APNIC
@aut-10118-APNIC|20010519|Hutchison Telephone Company Limited|HK|APNIC
@aut-10120-APNIC|20000731|IBM Sinapore Server Farm|SG|APNIC
@aut-10122-APNIC|20060907|Beijing Jiasheng Lianhua technical Co. Ltd|CN|APNIC
@aut-10123-APNIC|20100526|Guangzhou Tenmark Networks Technology Ltd|CN|APNIC
@aut-10124-APNIC|20110721|Amazon Data Services Japan KK|JP|APNIC
@aut-10125-APNIC|20080107|INTERGLOBE IS A LARGE BPO AND IT COMPANY IN TRAVEL DOMAIN|IN|APNIC
@aut-10127-APNIC|20011120|CLSA Ltd|HK|APNIC
@aut-10129-APNIC|20000804|Salomon Smith Barney Australia Pty Ltd|AU|APNIC
@aut-10131-APNIC|20001122|Telecom Cook Islands|CK|APNIC
@aut-10132-APNIC|20000807|Eastar Technology Data Center in Hongkong|HK|APNIC
@aut-10133-APNIC|20060124|Chief Telecom Inc.|TW|APNIC
@aut-10135-APNIC|20050624|EASPNET Inc.|TW|APNIC
@aut-10140-APNIC|20011008|SingTel GPRS Roaming Exchange|SG|APNIC
@aut-10143-APNIC|20040401|Exetel Pty Ltd|AU|APNIC
@aut-10146-APNIC|20040402|Ford Motor Company|SG|APNIC
@aut-10148-APNIC|20140128|The University of Melbourne, Melbourne, Victoria|AU|APNIC
@aut-10152-APNIC|20040709|NEC Australia Pty Ltd|AU|APNIC
@aut-10153-APNIC|20000901|ONE.TEL Limited (Hong Kong)|HK|APNIC
@aut-10154-APNIC|20060228|ULSAN Office of Education|KR|APNIC
@aut-10155-APNIC|20041201|CJ CableNet JoongBusan CATV|KR|APNIC
@aut-10156-APNIC|20030409|Seoul National University of Education|KR|APNIC
@aut-10157-APNIC|20030725|Yahoo! Korea, Corp.|KR|APNIC
@aut-10158-APNIC|20130103|KAKACO|KR|APNIC
@aut-10159-APNIC|20110729|HANKUK Aviation University|KR|APNIC
@aut-10160-APNIC|20020711|Intellicenter|KR|APNIC
@aut-10161-APNIC|20120320|QIA|KR|APNIC
@aut-10162-APNIC|20051223|SNUH|KR|APNIC
@aut-10163-APNIC|20070102|HANKOOK TIRE CO.,LTD.|KR|APNIC
@aut-10164-APNIC|20070425|TBROAD GANGSEO|KR|APNIC
@aut-10165-APNIC|20030915|KOREA CUSTOMS SERVICE|KR|APNIC
@aut-10166-APNIC|20030918|Korea Water Resources Corporation|KR|APNIC
@aut-10169-APNIC|20121015|AMOREPACIFIC|KR|APNIC
@aut-10170-APNIC|20030122|The Bank of Korea|KR|APNIC
@aut-10171-APNIC|20030121|SKTELINK|KR|APNIC
@aut-10172-APNIC|20081222|KYOBO BOOK CENTER|KR|APNIC
@aut-10173-APNIC|20030121|KSNET.Inc|KR|APNIC
@aut-10174-APNIC|20030919|Munhwa Broadcasting Corporation|KR|APNIC
@aut-10175-APNIC|20061206|Kumho Cable|KR|APNIC
@aut-10176-APNIC|20001127|Taejon Institute of Education Science|KR|APNIC
@aut-10177-APNIC|20061103|GREEN CROSS LIFE INSURANCE Co.,Ltd|KR|APNIC
@aut-10178-APNIC|20001129|Korea Baptist Theological University/Seminary|KR|APNIC
@aut-10179-APNIC|20001205|Daehan Investment Trust Securities|KR|APNIC
@aut-10180-APNIC|20030409|Chuncheon National University of Education|KR|APNIC
@aut-10181-APNIC|20120719|Korea Register of Shipping|KR|APNIC
@aut-10182-APNIC|20040409|ETOMATO CO.Ltd|KR|APNIC
@aut-10183-APNIC|20131031|Korea Culture Information Service Agency|KR|APNIC
@aut-10184-APNIC|20001221|Korean Federation of Community Credit Cooperatives|KR|APNIC
@aut-10185-APNIC|20040202|Hana Bank Co.|KR|APNIC
@aut-10186-APNIC|20051124|Daejeon Telecom|KR|APNIC
@aut-10187-APNIC|20030121|Korea Information Society Developement Institute|KR|APNIC
@aut-10188-APNIC|20040206|HanMag Futures Corporation|KR|APNIC
@aut-10189-APNIC|20061114|Hyundai merchant marine co., LTD.|KR|APNIC
@aut-10190-APNIC|20030409|Joongbu University|KR|APNIC
@aut-10191-APNIC|20110729|C&M Ulsan Cable TV|KR|APNIC
@aut-10192-APNIC|20060105|kiwoom.com Securities.co.,Ltd|KR|APNIC
@aut-10193-APNIC|20010127|WEMADE Entertainment|KR|APNIC
@aut-10194-APNIC|20050112|Doosan Heavy Industries & Construction Co., Ltd.|KR|APNIC
@aut-10195-APNIC|20080108|HAIonNet|KR|APNIC
@aut-10197-APNIC|20111114|Chonnam National University|KR|APNIC
@aut-10198-APNIC|20030409|Catholic University of Pusan|KR|APNIC
@aut-10200-APNIC|20040312|Web hosting provider and ISP connectivity.|NZ|APNIC
@aut-10201-APNIC|20140306|Dishnet Wireless Limited. Broadband Wireless|IN|APNIC
@aut-10202-APNIC|20100304|BOC International Holdings Limited|HK|APNIC
@aut-10204-APNIC|20020419|Arcnet NTT MSC ISP|MY|APNIC
@aut-10205-APNIC|20100302|ON.CC(HK) LIMITED|HK|APNIC
@aut-10208-APNIC|20040629|PT. Millenium Internetindo|ID|APNIC
@aut-10209-APNIC|20070928|Japan HUB and Data Center|JP|APNIC
@aut-10210-APNIC|20100517|8 Clunies Ross Court|AU|APNIC
@aut-10213-APNIC|20000922|Workcover Corporation|AU|APNIC
@aut-10215-APNIC|20050130|Microland Limited. IT Infra Service Provider. India|IN|APNIC
@aut-10217-APNIC|20110301|PT. NTT Indonesia|ID|APNIC
@aut-10219-APNIC|20130611|SKY C&C LLC|MN|APNIC
@aut-10220-APNIC|20101223|PT. Sejahtera Globalindo|ID|APNIC
@aut-10223-APNIC|20071017|Uecomm Ltd|AU|APNIC
@aut-10225-APNIC|20130821|Nettlinx Limited|IN|APNIC
@aut-10226-APNIC|20030708|Enterprise of Telecommunications Lao|LA|APNIC
@aut-10227-APNIC|20001004|Institute Rajabhat Suandusit|TH|APNIC
@aut-10231-APNIC|20021016|Tech-trans System Ltd.|HK|APNIC
@aut-10232-APNIC|20010703|Hutchison Priceline HK|HK|APNIC
@aut-10233-APNIC|20010110|West Australian Service Providers|AU|APNIC
@aut-10236-APNIC|20031121|FOXGOLD COMMUNICATIONS|AU|APNIC
@aut-10238-APNIC|20001010|Cyber Channel International Ltd|HK|APNIC
@aut-10239-APNIC|20001012|Comsat Max ISP|IN|APNIC
@aut-10269-LACNIC|19970603|Belize Telemedia Limited|BZ|LACNIC
@aut-10277-LACNIC|19970604|Ministerio de Cultura y Educacion|AR|LACNIC
@aut-10299-LACNIC|19970620|EMCATEL|CO|LACNIC
@aut-10318-LACNIC|20030429|CABLEVISION S.A.|AR|LACNIC
@aut-10362-LACNIC|20130306|UBIK DO BRASIL SOL TECNOLOGIA LTDA.|BR|LACNIC
@aut-10391-LACNIC|20131121|InteRED Panama|PA|LACNIC
@aut-10417-LACNIC|20130306|Fundação de Desenvolvimento da Pesquisa|BR|LACNIC
@aut-10420-LACNIC|20090112|Banco de Mexico|MX|LACNIC
@aut-10429-LACNIC|20131028|Telefonica Data S.A.|BR|LACNIC
@aut-10452-LACNIC|19970807|FritzWare S.R.L.|AR|LACNIC
@aut-10454-LACNIC|20130401|Interdotnet do Brasil Ltda|BR|LACNIC
@aut-10463-LACNIC|19971210|Enlared C.A.|VE|LACNIC
@aut-10481-LACNIC|20070604|Prima S.A.|AR|LACNIC
@aut-10495-LACNIC|20130306|GERAES CONSULTORIA E SISTEMAS LTDA.|BR|LACNIC
@aut-10569-LACNIC|20021009|Red CENIAInternet|CU|LACNIC
@aut-10586-LACNIC|20050706|OSI de Guatemala|GT|LACNIC
@aut-10600-LACNIC|20130401|CD-GRAF PUBLICACOES ELETRONICAS LTDA|BR|LACNIC
@aut-10605-LACNIC|19971002|Service Net|AR|LACNIC
@aut-10606-LACNIC|19971006|TALNET S.A.|AR|LACNIC
@aut-10617-LACNIC|19971006|SION S.A|AR|LACNIC
@aut-10624-LACNIC|19971006|Netpoint de Venezuela|VE|LACNIC
@aut-10630-LACNIC|20130306|Avati Seguranca Digital Avancada Ltda|BR|LACNIC
@aut-10640-LACNIC|19971013|DATANET S.A.|AR|LACNIC
@aut-10670-LACNIC|20130819|COMPANHIA DE TECNOLOGIA DA INFORMAÇÃO ESTADO MG|BR|LACNIC
@aut-10671-LACNIC|19971021|Comision Nacional de Actividades Espaciales|AR|LACNIC
@aut-10688-LACNIC|20130306|ISM AUTOMACAO S.A.|BR|LACNIC
@aut-10691-LACNIC|20000417|ColInterNet|CO|LACNIC
@aut-10697-LACNIC|20011130|Interlink S.R.L.|AR|LACNIC
@aut-10704-LACNIC|20130306|Microlink Telecom (LNCC)|BR|LACNIC
@aut-10733-LACNIC|20130306|MATRIX INTERNET S.A.|BR|LACNIC
@aut-10757-LACNIC|19971119|SSD S. A.|AR|LACNIC
@aut-10778-LACNIC|20020129|MCL Internet|CL|LACNIC
@aut-10785-LACNIC|19980417|Internet Services S.A.|AR|LACNIC
@aut-10795-LACNIC|19971201|Desarrollos Digitales S. A.|AR|LACNIC
@aut-10807-APNIC|20041221|Hitachi Business International, Ltd.|JP|APNIC
@aut-10824-LACNIC|19971208|BANQUE DE LA REPUBLIQUE D'HAITI|HT|LACNIC
@aut-10841-LACNIC|20130401|sbc sistema brasileiro de comunicações ltda|BR|LACNIC
@aut-10847-LACNIC|20120522|Podernet, S.A. de C.V.|MX|LACNIC
@aut-10875-LACNIC|20130306|FUNDACAO DE APOIO DA UNIVERSIDADE FEDERAL DO|BR|LACNIC
@aut-10881-LACNIC|20130306|FUNPAR - Fundacao da UFPR para o DCTC|BR|LACNIC
@aut-10897-LACNIC|20130306|Camara dos Deputados|BR|LACNIC
@aut-10938-LACNIC|20130306|AGENCIA ESTADUAL DE TECNOLOGIA DA INFORMACAO - ATI|BR|LACNIC
@aut-10954-LACNIC|20131008|SERVICO FEDERAL DE PROCESSAMENTO DE DADOS - SERPRO|BR|LACNIC
@aut-10964-LACNIC|20041117|Red Cooperativa de Comunicaciones|AR|LACNIC
@aut-10986-LACNIC|20060608|Intermedia Comunicaciones S.A.|AR|LACNIC
@aut-10992-LACNIC|20040115|Giga System|AR|LACNIC
@aut-11008-LACNIC|19981231|Netverk S.A.|AR|LACNIC
@aut-11014-LACNIC|20061027|CPS|AR|LACNIC
@aut-1103-RIPE|20000101|SURFnet, The Netherlands|EU|RIPE
@aut-1104-RIPE|20000101|FOM-Nikhef|EU|RIPE
@aut-1105-RIPE|20000101|SURFnet BV|EU|RIPE
@aut-11053-LACNIC|20040115|Sistemas de Tecnologia Avanzada S.A. (STA S.A.)|CO|LACNIC
@aut-1106-RIPE|20000101|SURFnet BV|EU|RIPE
@aut-11063-LACNIC|20040115|Microstar S.A.|AR|LACNIC
@aut-1107-RIPE|20000101|SURFnet BV|EU|RIPE
@aut-1108-RIPE|20000101|SURFnet BV|EU|RIPE
@aut-11081-LACNIC|20121211|United Telecommunication Services (UTS)|CW|LACNIC
@aut-11083-LACNIC|20110611|Ocean Fund International Ltd.|MX|LACNIC
@aut-1109-RIPE|20000101|University of Salzburg|AT|RIPE
@aut-11097-LACNIC|20130306|EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA|BR|LACNIC
@aut-1110-RIPE|20000101|University of Innsbruck|AT|RIPE
@aut-1112-RIPE|20000101|Montanuniversitaet Leoben|AT|RIPE
@aut-1114-RIPE|20000101|Universitaet Graz|AT|RIPE
@aut-1115-RIPE|20000101|Austrian Academy of Sciences|AT|RIPE
@aut-1116-RIPE|20000101|Universitaet f. Musik und darstellende Kunst Wien|AT|RIPE
@aut-1117-RIPE|20000101|Universitaet fuer Bodenkultur, Wien|EU|RIPE
@aut-11172-LACNIC|20040723|Alestra, S. de R.L. de C.V.|MX|LACNIC
@aut-1118-RIPE|20000101|ASN-Graz|EU|RIPE
@aut-1119-RIPE|20000101|ASN-Wien|EU|RIPE
@aut-11193-LACNIC|20040315|COMNET S.A.|AR|LACNIC
@aut-1120-RIPE|20000101|ACOnet Services @ Vienna Internet eXchange|EU|RIPE
@aut-1121-RIPE|20000101|VIX Route Server|EU|RIPE
@aut-1122-RIPE|20000101|UK-AS|EU|RIPE
@aut-1123-RIPE|20000101|Technikum Vorarlberg|EU|RIPE
@aut-11237-LACNIC|20040315|UNIVERSIDAD EAFIT|CO|LACNIC
@aut-1124-RIPE|20000101|Universiteit van Amsterdam|EU|RIPE
@aut-11242-LACNIC|20130306|Universidade Federal de Santa Catarina|BR|LACNIC
@aut-1125-RIPE|20000101|SURFnet Test Network|EU|RIPE
@aut-11256-LACNIC|20050415|Abaco Soc de Hecho.|AR|LACNIC
@aut-1126-RIPE|20000101|Vancis Advanced ICT Services|EU|RIPE
@aut-1127-RIPE|20000101|SURFnet Multicast Test ASN|EU|RIPE
@aut-11271-LACNIC|20130306|BT Latam Brasil Ltda|BR|LACNIC
@aut-1128-RIPE|20000101|DTO TUDELFT, The Netherlands - AS|EU|RIPE
@aut-1129-RIPE|20000101|SURFnet BV|EU|RIPE
@aut-11295-LACNIC|20130306|BR HOME SHOPPING LTDA|BR|LACNIC
@aut-1130-RIPE|20000101|SURFnet VPN TEST ASN|EU|RIPE
@aut-1131-RIPE|20000101|SURFnet BV|EU|RIPE
@aut-11311-LACNIC|20030926|Sinectis S.A.|AR|LACNIC
@aut-11315-LACNIC|20140425|Telefónica Móviles Argentina S.A. (Movistar Argentina)|AR|LACNIC
@aut-1132-RIPE|20000101|Meteo Consult BV|EU|RIPE
@aut-1133-RIPE|20000101|University Twente|EU|RIPE
@aut-11335-LACNIC|20130401|APIS - Internet Consultoria e Comercio Ltda|BR|LACNIC
@aut-11338-LACNIC|20130306|SKY Serviços de Banda Larga LTDA|BR|LACNIC
@aut-1134-RIPE|20000101|KPN Mobile Network Operator|EU|RIPE
@aut-11340-LACNIC|20050810|Red Universitaria Nacional|CL|LACNIC
@aut-11341-RIPE|20000101|The Easynet US Network|EU|RIPE
@aut-1135-RIPE|20000101|Veronica Interactive Plaza|EU|RIPE
@aut-1136-RIPE|20000101|KPN Internet Solutions|EU|RIPE
@aut-1137-RIPE|20000101|UNIP|EU|RIPE
@aut-11373-LACNIC|20040517|Peoples Network|AR|LACNIC
@aut-1138-RIPE|20000101|UNUSED|EU|RIPE
@aut-1139-RIPE|20000101|AMOLF|EU|RIPE
@aut-11390-LACNIC|20130401|INSTITUTO UNIEMP|BR|LACNIC
@aut-11392-LACNIC|20100609|Nosis Laboratorio de Investigación y Desarrollo S.A.|AR|LACNIC
@aut-1141-RIPE|20000101|Eindhoven University of Technology|EU|RIPE
@aut-11411-LACNIC|20060616|Tournet S.A.|AR|LACNIC
@aut-11415-LACNIC|20130306|LEVEL3 COMUNICAÇÕES DO BRASIL LTDA.|BR|LACNIC
@aut-1142-RIPE|20000101|Springer Science and Business Media B.V.|EU|RIPE
@aut-1143-RIPE|20000101|currently not in use|EU|RIPE
@aut-11431-LACNIC|20130306|Planetarium LTDA|BR|LACNIC
@aut-11432-LACNIC|20130306|Telium Telecomunicações Ltda|BR|LACNIC
@aut-1144-RIPE|20000101|SURFnet BV|EU|RIPE
@aut-1145-RIPE|20000101|Kennisnet|EU|RIPE
@aut-11451-LACNIC|20060616|Interlink Network SRL|AR|LACNIC
@aut-1146-RIPE|20000101|SURFnet BV|EU|RIPE
@aut-11467-APNIC|20041221|Universal Network Technology|TW|APNIC
@aut-1147-RIPE|20000101|Medisch Centrum Leeuwarden|EU|RIPE
@aut-1148-RIPE|20000101|Stichting LOFAR|EU|RIPE
@aut-1149-RIPE|20000101|SURFnet BV|EU|RIPE
@aut-11497-LACNIC|20130306|BANCO DO ESTADO DE SANTA CATARINA|BR|LACNIC
@aut-11498-LACNIC|20060717|D.I.B.I. S.A.|AR|LACNIC
@aut-1150-RIPE|20000101|SURFnet BV|EU|RIPE
@aut-1151-RIPE|20000101|SURFnet BV|EU|RIPE
@aut-11514-LACNIC|20101005|Transdatos|AR|LACNIC
@aut-11519-LACNIC|20090916|Banco Mercantil del Norte S.A., Institucion de Banca Multiple, Grupo Financiero Banorte|MX|LACNIC
@aut-1152-RIPE|20000101|SURFnet BV|EU|RIPE
@aut-1153-RIPE|20000101|SURFnet BV|EU|RIPE
@aut-1154-RIPE|20000101|SURFnet BV|EU|RIPE
@aut-1155-RIPE|20000101|SURFnet5 Test-AS|EU|RIPE
@aut-11556-LACNIC|20041020|Cable & Wireless Panama|PA|LACNIC
@aut-1156-RIPE|20000101|SURFnet BV|EU|RIPE
@aut-11562-LACNIC|20070918|Net Uno, C.A.|VE|LACNIC
@aut-1157-RIPE|20000101|SURFnet BV|EU|RIPE
